date,AQI
2023-10-08,62.666666666666664
2023-10-09,62.333333333333336
2023-10-10,49.333333333333336
2023-10-11,42.0
2023-10-12,51.0
2023-10-13,55.0
2023-10-14,55.666666666666664
2023-10-15,54.0
2023-10-16,68.0
2023-10-17,72.0
2023-10-18,74.33333333333333
2023-10-19,74.0
2023-10-20,68.0
2023-10-21,56.333333333333336
2023-10-22,36.333333333333336
2023-10-23,26.0
2023-10-24,42.666666666666664
2023-10-25,38.666666666666664
2023-10-26,47.0
2023-10-27,51.333333333333336
2023-10-28,49.666666666666664
2023-10-29,34.666666666666664
2023-10-30,39.666666666666664
2023-10-31,45.666666666666664
2023-11-01,54.0
2023-11-02,59.666666666666664
2023-11-03,65.0
2023-11-04,74.33333333333333
2023-11-05,70.66666666666667
2023-11-06,67.33333333333333
2023-11-07,48.0
2023-11-08,36.666666666666664
2023-11-09,31.666666666666668
2023-11-10,54.666666666666664
2023-11-11,51.333333333333336
2023-11-12,45.666666666666664
2023-11-13,54.666666666666664
2023-11-14,58.666666666666664
2023-11-15,60.333333333333336
2023-11-16,49.0
2023-11-17,43.0
2023-11-18,41.333333333333336
2023-11-19,33.666666666666664
2023-11-20,41.333333333333336
2023-11-21,35.0
2023-11-22,49.666666666666664
2023-11-23,44.333333333333336
2023-11-24,43.666666666666664
2023-11-25,43.666666666666664
2023-11-26,32.0
2023-11-27,37.0
2023-11-28,51.333333333333336
2023-11-29,55.666666666666664
2023-11-30,42.333333333333336
2023-12-01,49.333333333333336
2023-12-02,50.333333333333336
2023-12-03,57.333333333333336
2023-12-04,56.0
2023-12-05,51.666666666666664
2023-12-06,53.0
2023-12-07,55.333333333333336
2023-12-08,60.333333333333336
2023-12-09,43.0
2023-12-10,43.333333333333336
2023-12-11,57.0
2023-12-12,69.0
2023-12-13,64.33333333333333
2023-12-14,52.666666666666664
2023-12-15,50.333333333333336
2023-12-16,50.666666666666664
2023-12-17,48.0
2023-12-18,60.333333333333336
2023-12-19,53.333333333333336
2023-12-20,40.0
2023-12-21,30.0
2023-12-22,29.0
2023-12-23,41.333333333333336
2023-12-24,54.666666666666664
2023-12-25,55.666666666666664
2023-12-26,72.66666666666667
2023-12-27,68.33333333333333
2023-12-28,102.0
2023-12-29,73.0
2023-12-30,57.666666666666664
2023-12-31,45.0
2024-01-01,54.666666666666664
2024-01-02,47.666666666666664
2024-01-03,46.333333333333336
2024-01-04,49.0
2024-01-05,52.333333333333336
2024-01-06,41.666666666666664
2024-01-07,23.0
2024-01-08,38.0
2024-01-09,47.0
2024-01-10,44.0
2024-01-11,37.5
2024-01-12,48.5
2024-01-13,56.0
2024-01-14,62.333333333333336
2024-01-15,75.66666666666667
2024-01-16,77.0
2024-01-17,72.33333333333333
2024-01-18,70.33333333333333
2024-01-19,63.666666666666664
2024-01-20,55.333333333333336
2024-01-21,43.666666666666664
2024-01-22,34.333333333333336
2024-01-23,51.0
2024-01-24,48.666666666666664
2024-01-25,35.666666666666664
2024-01-26,47.333333333333336
2024-01-27,40.333333333333336
2024-01-28,34.666666666666664
2024-01-29,53.0
2024-01-30,52.666666666666664
2024-01-31,52.0
2024-02-01,43.0
2024-02-02,33.333333333333336
2024-02-03,28.666666666666668
2024-02-04,29.0
2024-02-05,27.0
2024-02-06,27.666666666666668
2024-02-07,37.0
2024-02-08,29.0
2024-02-09,35.0
2024-02-10,38.666666666666664
2024-02-11,34.0
2024-02-12,50.333333333333336
2024-02-13,52.333333333333336
2024-02-14,51.0
2024-02-15,54.333333333333336
2024-02-16,62.666666666666664
2024-02-17,67.0
2024-02-18,38.0
2024-02-19,21.666666666666668
2024-02-20,29.0
2024-02-21,36.666666666666664
2024-02-22,48.333333333333336
2024-02-23,43.666666666666664
2024-02-24,40.666666666666664
2024-02-25,52.333333333333336
2024-02-26,61.333333333333336
2024-02-27,47.0
